X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
77.19259644,9.796919823,1,0.9228308,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,8,2,4,3,2,3,1,9,4,5,3,1,1,1,4,4,1,Very deep,Clay,1
77.10900116,9.798939705,1,0.9436073,very high,Pink Granite Gneiss,Scrub Forest,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,5,6,4,2,5,2,1,5,1,10,6,5,7,1,1,4,5,5,2,Very deep,Clay,1
76.84770203,9.802669525,0,0.18873072,very low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,6,2,1,3,4,2,3,1,7,7,5,4,1,1,1,3,4,1,Very deep,Clay,85
77.07969666,9.805419922,1,0.97760254,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,5,2,5,3,5,3,3,9,4,5,4,1,2,4,4,5,2,Very deep,Clay,1
77.15129852,9.805850029,1,0.9766332,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,5,2,3,4,1,4,1,6,6,5,4,1,4,3,2,5,2,Very deep,Clay,85
77.15019989,9.807060242,1,0.942694,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,1,6,4,2,4,3,1,3,1,7,5,4,3,1,4,2,3,5,2,Very deep,Clay,85
77.09999847,9.809430122,1,0.9873563,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,2,5,4,2,3,4,3,3,1,3,5,5,3,1,5,1,4,5,2,Very deep,Clay,1
77.10649872,9.810379982,1,0.9452842,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,2,5,2,5,3,5,3,2,10,7,8,7,1,1,3,3,5,2,Very deep,Clay,85
77.10099792,9.810480118,1,0.97878474,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,2,5,4,2,1,5,4,4,3,9,7,5,4,1,2,4,4,5,2,Very deep,Clay,1
77.09980011,9.810799599,1,0.97786695,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,8,4,2,5,3,4,4,1,10,6,2,4,1,2,4,5,5,2,Very deep,Clay,1
77.09989929,9.810810089,1,0.98533475,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,4,5,8,2,2,4,3,3,2,10,8,6,5,1,2,3,6,5,2,Very deep,Clay,1
77.10639954,9.810830116,1,0.98154896,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,4,2,1,4,5,3,2,10,4,5,5,1,1,3,4,5,1,Very deep,Clay,85
77.09940338,9.810930252,1,0.97002393,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,5,2,1,5,3,3,1,9,7,6,6,1,1,3,4,5,2,Very deep,Clay,85
77.07810211,9.811019897,1,0.96084464,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,8,5,2,4,3,4,3,2,3,7,2,2,1,6,1,3,4,2,Very deep,Clay,85
77.09850311,9.811180115,1,0.9803523,very high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Open,Barren Rocky,1,Marayoor,1,6,4,2,1,5,2,2,1,9,7,5,5,1,1,2,5,5,2,Very deep,Clay,85
76.85089874,9.811710358,0,0.026926795,very low,Hornblende Gneiss,River - Perennial,River - Perennial,1,Marayoor,1,6,5,1,4,3,2,1,2,2,7,5,3,1,2,2,1,4,2,Very deep,Clay,85
76.87640381,9.813079834,1,0.61230975,high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,6,3,1,5,3,4,5,1,10,5,5,2,1,1,1,4,5,2,Very deep,Clay,1
76.87599945,9.813489914,0,0.3027242,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,2,1,3,3,2,2,1,10,6,4,2,1,1,1,3,5,1,Very deep,Clay,1
76.8757019,9.814800262,0,0.4121812,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,7,10,1,2,3,2,4,2,10,7,4,2,1,2,2,2,5,1,Very deep,Clay,1
77.07969666,9.817649841,1,0.79268247,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,2,7,2,2,3,3,2,3,1,2,5,5,3,1,5,1,1,5,2,Very deep,Clay,1
76.83969879,9.823120117,0,0.06117605,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,10,1,4,3,2,3,1,2,4,6,2,1,2,2,4,4,2,Very deep,Clay,85
77.14160156,9.826740265,1,0.9944675,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,4,6,5,2,5,2,4,3,2,9,5,5,3,1,2,2,5,5,2,Very deep,Clay,85
77.16079712,9.828940392,1,0.98381674,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,6,5,2,2,4,4,3,3,8,5,5,2,1,2,2,2,5,2,Very deep,Clay,85
76.74970245,9.829440117,0,0.061565097,very low,Pink Granite Gneiss,Deciduous Forest - Closed,Deciduous Forest - Closed,1,Marayoor,3,4,4,2,4,3,5,3,2,10,8,6,3,1,3,3,2,5,1,Very deep,Clay,1
